Service description,Service ID,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($)
Places API,213C-9623-1402,0.16,-0.16,0.00,0.000000,0.00
,,,,Subtotal,0.000000,0.00
,,,,Tax,0.000000,0.00
,,,,Total,0.000000,0.00
